location_id,formattedAddress,addressLine1,addressLine2,county,zipCode,city,state,latitude,longitude
0,"7011 w parmer ln, austin, tx 78729",7011 W Parmer Ln,Unknown,Williamson,78729,Austin,TX,30.450651,-97.749853
1,"5200 n lamar blvd, austin, tx 78751",5200 N Lamar Blvd,Unknown,Travis,78751,Austin,TX,30.320159,-97.731593
2,"1301 w 5th st, austin, tx 78703",1301 W 5th St,Unknown,Travis,78703,Austin,TX,30.271746,-97.759877
3,"1044 camino ln, costa, austin, tx 78752",1044 Camino Ln,Costa,Travis,78752,Austin,TX,30.32526,-97.69927
4,"800 w 38th st, austin, tx 78705",800 W 38th St,Unknown,Travis,78705,Austin,TX,30.304715,-97.741423
5,"8801 n fm 620 rd, austin, tx 78726",8801 N Fm 620 Rd,Unknown,Travis,78726,Austin,TX,30.42695,-97.84242
6,"2104 e anderson ln, austin, tx 78752",2104 E Anderson Ln,Unknown,Travis,78752,Austin,TX,30.331529,-97.677648
7,"12430 metric blvd, austin, tx 78758",12430 Metric Blvd,Unknown,Travis,78758,Austin,TX,30.41274,-97.692939
8,"6500 champion grandview way, austin, tx 78750",6500 Champion Grandview Way,Unknown,Travis,78750,Austin,TX,30.3642,-97.79181
9,"2402 san gabriel st, austin, tx 78705",2402 San Gabriel St,Unknown,Travis,78705,Austin,TX,30.288448,-97.747951
10,"1621 e 6th st, austin, tx 78702",1621 E 6th St,Unknown,Travis,78702,Austin,TX,30.262248,-97.726008
11,"1911 willow creek dr, austin, tx 78741",1911 Willow Creek Dr,Unknown,Travis,78741,Austin,TX,30.23256,-97.72886
12,"1611 w 5th st, austin, tx 78703",1611 W 5th St,Unknown,Travis,78703,Austin,TX,30.273858,-97.764246
13,"1720 w wells branch pkwy, austin, tx 78728",1720 W Wells Branch Pkwy,Unknown,Travis County,78728,Austin,TX,30.440369,-97.672445
14,"13145 n hwy, 183, austin, tx 78750",13145 N Hwy,183,Williamson County,78750,Austin,TX,30.442044,-97.778631
15,"6607 brodie ln, austin, tx 78745",6607 Brodie Ln,Unknown,Travis,78745,Austin,TX,30.215883,-97.825396
16,"3816 s lamar blvd, austin, tx 78704",3816 S Lamar Blvd,Unknown,Travis,78704,Austin,TX,30.239108,-97.79131
